    87 Sylvia             0.105  21  0.078  19  0.023  16 12.640  18  0.060  18  0.139  17  0.157  24  0.189  16 1980-12-27T10:01:00   5 -9
    88 Thisbe            -9.999 -99  0.049  18 -0.041  16 11.452   9 -0.010   8 -0.026   9 -9.999 -99 -9.999 -99 1980-03-19T07:29:00   4 -9
    88 Thisbe             0.141  44  0.091  35 -0.005  36 11.368  51 -0.064  33  0.004  30 -0.047  30 -0.046  42 1982-10-09T11:03:00   5 -9
    89 Julia              0.621  16  0.480  19  0.221  14 11.468  17  0.207  22  0.225  33  0.223  37  0.237  42 1981-09-27T11:35:00   5 -9
    90 Antiope            0.237  35  0.149  19  0.026  17 14.355  21  0.007  21 -0.048  33  0.006  25 -0.082  40 1981-05-05T03:56:00  10 -9
    90 Antiope            0.213  39  0.100  23 -0.010  24 14.397  18  0.068  22  0.046  28 -0.003  29 -0.012  38 1981-05-08T03:48:00   7 -9
    92 Undina             0.196  16  0.113  19  0.065  14 12.155  17  0.078  25  0.103  35  0.146  37  0.052  42 1981-09-27T02:35:00   7 -9
    93 Minerva            0.143  23  0.082  17  0.059  25 12.329  15 -0.120  27 -0.075  50 -0.183  33 -0.160  28 1981-10-05T04:09:00   5 -9
    93 Minerva            0.264  43  0.171  35  0.094  36 12.635  30 -0.012  26  0.030  29  0.016  19 -0.018  42 1981-11-05T02:34:00   5 -9
    94 Aurora             0.135  19  0.099  21  0.012  16 12.445  19  0.028  18  0.054  17  0.030  23  0.057  27 1979-10-16T04:14:00   5 -9
    94 Aurora             0.113  21  0.076  21 -0.024  18 11.811  20  0.011  20  0.053  19  0.013  22  0.065  17 1980-12-27T08:13:00   5 -9
    95 Arethusa           0.283  26  0.194  22  0.044  18 13.056  20 -0.010  18 -0.002  24  0.002  22  0.005  33 1979-10-16T03:34:00   4 -9
    95 Arethusa           0.274  20  0.167  16  0.012  12 12.197   9 -0.002  14  0.027  20  0.026  16  0.035  29 1980-12-25T06:21:00   6 -9
    97 Klotho             0.216  55  0.176  51  0.067  37 11.797  31  0.054  26  0.095  26  0.056  37  0.015  40 1979-08-23T04:30:00   7 -9
    97 Klotho             0.018  16  0.017  16  0.006  11 10.781   9  0.087  13  0.115  18  0.166  13  0.184  24 1980-12-25T10:24:00   5 -9
    98 Ianthe             0.282  43  0.216  32  0.092  34 13.752  35 -0.010  27  0.012  29  0.030  44  0.051  49 1980-10-19T04:59:00  15 -9
    99 Dike               0.281  14  0.161  13  0.030  17 12.491  21  0.021  17  0.075  21  0.061  22  0.042  14 1981-05-09T07:39:00   5 -9
   101 Helena             0.524  40  0.411  32  0.192  26 12.721  43  0.172  23  0.141  32  0.130  36  0.176  43 1981-11-26T10:40:00  10 -9
   101 Helena             0.694  66  0.391  31  0.189  25 12.399  22  0.203  36  0.186  21  0.193  35  0.246  52 1981-12-23T10:19:00  10 -9
   102 Miriam             0.211  48  0.153  32  0.028  25 12.838  16  0.108  31  0.200  33  0.201  29  0.209  33 1981-08-29T11:49:00   5 -9
   103 Hera               0.488  35  0.393  19  0.176  17 11.271  27  0.176  24  0.155  18  0.151  31  0.148  31 1979-08-23T10:39:00   5 -9
